"","X","season","agebin","densitybin","fraction_infected_bin","count","num_in_group","freq_frac_infect","site","month"
"153",153,"Dry",5,0,20,0,23,0,"Sapone_2018",5
"154",154,"Dry",5,0,40,0,23,0,"Sapone_2018",5
"155",155,"Dry",5,0,80,0,23,0,"Sapone_2018",5
"156",156,"Dry",5,0,60,0,23,0,"Sapone_2018",5
"157",157,"Dry",5,0.5,5,0,4,0,"Sapone_2018",5
"158",158,"Dry",5,0.5,0,4,4,1,"Sapone_2018",5
"159",159,"Dry",5,0.5,20,0,4,0,"Sapone_2018",5
"160",160,"Dry",5,0.5,40,0,4,0,"Sapone_2018",5
"161",161,"Dry",5,0.5,80,0,4,0,"Sapone_2018",5
"162",162,"Dry",5,0.5,60,0,4,0,"Sapone_2018",5
"163",163,"Dry",5,5,5,0,6,0,"Sapone_2018",5
"164",164,"Dry",5,5,0,6,6,1,"Sapone_2018",5
"165",165,"Dry",5,5,20,0,6,0,"Sapone_2018",5
"166",166,"Dry",5,5,40,0,6,0,"Sapone_2018",5
"167",167,"Dry",5,5,80,0,6,0,"Sapone_2018",5
"168",168,"Dry",5,5,60,0,6,0,"Sapone_2018",5
"169",169,"Dry",5,50,5,1,2,0.5,"Sapone_2018",5
"170",170,"Dry",5,50,0,1,2,0.5,"Sapone_2018",5
"171",171,"Dry",5,50,20,0,2,0,"Sapone_2018",5
"172",172,"Dry",5,50,40,0,2,0,"Sapone_2018",5
"173",173,"Dry",5,50,80,0,2,0,"Sapone_2018",5
"174",174,"Dry",5,50,60,0,2,0,"Sapone_2018",5
"175",175,"Dry",5,500,5,0,0,NA,"Sapone_2018",5
"176",176,"Dry",5,500,0,0,0,NA,"Sapone_2018",5
"177",177,"Dry",5,500,20,0,0,NA,"Sapone_2018",5
"178",178,"Dry",5,500,40,0,0,NA,"Sapone_2018",5
"179",179,"Dry",5,500,80,0,0,NA,"Sapone_2018",5
"180",180,"Dry",5,500,60,0,0,NA,"Sapone_2018",5
